suicides,age,period,cohort,sex,country
21,20,1987,1967,male,Albania
16,44,1987,1943,male,Albania
14,20,1987,1967,female,Albania
1,75,1987,1912,male,Albania
9,30,1987,1957,male,Albania
1,75,1987,1912,female,Albania
6,44,1987,1943,female,Albania
4,30,1987,1957,female,Albania
1,64,1987,1923,male,Albania
0,10,1987,1977,female,Albania
0,64,1987,1923,female,Albania
0,10,1987,1977,male,Albania
2,75,1988,1913,female,Albania
17,20,1988,1968,male,Albania
1,75,1988,1913,male,Albania
14,44,1988,1944,male,Albania
4,64,1988,1924,male,Albania
8,20,1988,1968,female,Albania
3,64,1988,1924,female,Albania
5,30,1988,1958,female,Albania
5,30,1988,1958,male,Albania
4,44,1988,1944,female,Albania
0,10,1988,1978,female,Albania
0,10,1988,1978,male,Albania
2,75,1989,1914,male,Albania
18,30,1989,1959,male,Albania
15,44,1989,1945,male,Albania
6,64,1989,1925,male,Albania
12,20,1989,1969,male,Albania
7,44,1989,1945,female,Albania
5,20,1989,1969,female,Albania
2,30,1989,1959,female,Albania
1,64,1989,1925,female,Albania
0,10,1989,1979,female,Albania
0,75,1989,1914,female,Albania
0,10,1989,1979,male,Albania
12,44,1992,1948,male,Albania
9,20,1992,1972,male,Albania
5,64,1992,1928,male,Albania
7,30,1992,1962,male,Albania
7,20,1992,1972,female,Albania
4,30,1992,1962,female,Albania
2,44,1992,1948,female,Albania
1,64,1992,1928,female,Albania
0,10,1992,1982,female,Albania
0,75,1992,1917,female,Albania
0,10,1992,1982,male,Albania
0,75,1992,1917,male,Albania
18,20,1993,1973,male,Albania
7,64,1993,1929,male,Albania
1,75,1993,1918,male,Albania
9,30,1993,1963,male,Albania
10,20,1993,1973,female,Albania
10,44,1993,1949,male,Albania
7,30,1993,1963,female,Albania
7,44,1993,1949,female,Albania
2,64,1993,1929,female,Albania
1,10,1993,1983,female,Albania
1,10,1993,1983,male,Albania
0,75,1993,1918,female,Albania
2,75,1994,1919,male,Albania
11,64,1994,1930,male,Albania
2,75,1994,1919,female,Albania
6,30,1994,1964,male,Albania
9,44,1994,1950,male,Albania
6,20,1994,1974,male,Albania
6,20,1994,1974,female,Albania
4,30,1994,1964,female,Albania
2,44,1994,1950,female,Albania
1,64,1994,1930,female,Albania
1,10,1994,1984,male,Albania
0,10,1994,1984,female,Albania
13,30,1995,1965,male,Albania
9,64,1995,1931,male,Albania
2,75,1995,1920,female,Albania
13,20,1995,1975,female,Albania
11,20,1995,1975,male,Albania
1,75,1995,1920,male,Albania
14,44,1995,1951,male,Albania
7,30,1995,1965,female,Albania
8,44,1995,1951,female,Albania
6,10,1995,1985,male,Albania
2,64,1995,1931,female,Albania
2,10,1995,1985,female,Albania
2,75,1996,1921,male,Albania
17,20,1996,1976,male,Albania
14,30,1996,1966,male,Albania
16,20,1996,1976,female,Albania
2,75,1996,1921,female,Albania
10,30,1996,1966,female,Albania
12,44,1996,1952,male,Albania
9,44,1996,1952,female,Albania
3,64,1996,1932,male,Albania
1,64,1996,1932,female,Albania
2,10,1996,1986,male,Albania
1,10,1996,1986,female,Albania
36,30,1997,1967,male,Albania
33,20,1997,1977,male,Albania
3,75,1997,1922,male,Albania
30,44,1997,1953,male,Albania
21,20,1997,1977,female,Albania
12,64,1997,1933,male,Albania
16,30,1997,1967,female,Albania
2,75,1997,1922,female,Albania
7,44,1997,1953,female,Albania
6,10,1997,1987,female,Albania
4,10,1997,1987,male,Albania
0,64,1997,1933,female,Albania
3,75,1998,1923,male,Albania
27,20,1998,1978,male,Albania
32,20,1998,1978,female,Albania
26,30,1998,1968,male,Albania
29,44,1998,1954,male,Albania
9,64,1998,1934,male,Albania
